hole_id	r	phi	theta
11	35	0.449	8.5364E-03
12	58	0.309	1.4145E-02
13	84.5	0.588	2.0607E-02
21	50	1.207	1.2195E-02
22	56	1.486	1.3658E-02
23	75	1.346	1.8291E-02
31	39	2.244	9.5119E-03
32	63	2.384	1.5365E-02
33	80	2.104	1.9510E-02
41	50	3.002	1.2195E-02
42	60	3.142	1.4633E-02
43	70	3.281	1.7072E-02
51	56	3.9	1.3658E-02
52	56	4.179	1.3658E-02
53	80	4.039	1.9510E-02
61	39	4.937	9.5119E-03
62	60	5.076	1.4633E-02
63	75	4.797	1.8291E-02
71	44	5.834	1.0731E-02
72	68	5.974	1.6584E-02
73	84.5	5.695	2.0607E-02
